game_id,answer,nearby_1,nearby_2,nearby_3,nearby_4,nearby_5,nearby_6,nearby_7,nearby_8,nearby_9,nearby_10
1,forever,forevermore,eternally,irrevocably,eternity,indelibly,permanently,everlasting,eons,irreversibly,forgotten
2,executive,director,chairman,president,exec,chairperson,directors,vp,manager,honcho,chairwoman
3,elevator,elevators,escalator,stairwell,staircase,stairway,escalators,stairs,stairwells,dumbwaiter,stairways
4,patience,perseverance,fortitude,persevere,humility,prudence,diligence,tenacity,persistence,impatience,courage
5,overnight,morning,midday,afternoon,midmorning,midafternoon,day,night,hours,evening,daybreak
6,belt,belts,strap,straps,buckles,ring,chin,jacket,midsection,girdle,robe
7,eager,anxious,hoping,keen,willing,eagerness,reluctant,wanting,ready,loath,trying
8,boil,boiling,simmer,boiled,boils,simmering,simmered,deglaze,rewarm,stew,broil
9,favorite,favorites,best,popular,hottest,beloved,coolest,liking,famous,unfavorite,loved
10,candle,candles,lantern,lamp,candleholder,bulb,candelabrum,candlelight,incense,luminaria,wreath
11,crush,crushes,topple,crushed,crushing,vanquish,pummel,annihilate,overwhelm,smother,repress
12,vital,crucial,essential,important,critical,integral,key,indispensable,pivotal,valuable,imperative
13,patent,patents,patenting,patented,patentability,patentable,trademark,patentee,patentees,unpatentable,inventions
14,display,displays,displayed,displaying,exhibit,exhibited,showcased,exhibits,exhibiting,showcasing,illuminated
15,most,highly,particularly,arguably,one,less,more,especially,unquestionably,hugely,undeniably
16,tail,tails,snout,hind,fin,nose,beak,underwing,stubbier,hindquarters,porpoising
17,latter,incidentally,ironically,aforementioned,however,ostensible,abovementioned,likewise,merely,thus,unsurprisingly
18,surgeon,surgeons,neurosurgeon,doctor,urologist,physician,gynecologist,cardiologist,anesthesiologist,radiologist,surgical
19,monthly,weekly,yearly,bimonthly,biweekly,quarterly,fortnightly,annual,semimonthly,daily,biannual
20,consume,consumed,consumes,eat,consumption,guzzle,ingest,consuming,overconsume,devour,consumptions
21,plea,pleas,plead,pleading,sentencing,pleaded,pled,sentence,nolle,arraignment,confession
22,miracle,miracles,miraculous,miraculously,resurrection,magic,savior,feat,salvation,shocker,improbable
23,level,levels,threshold,echelon,heights,leve,intensity,echelons,low,thresholds,minimum
24,seek,seeking,sought,seeks,pursue,provide,try,propose,give,obtain,await
25,world,globe,country,continent,nation,global,worldwide,globally,worlds,planet,countries
